ticketNo,confirmationNo,travelDocument,seatNo,flightNo,departureDate
4958,2479,16870429-5081,2B,FF735,2020-02-19
4959,2480,16910501-5979,2C,FF735,2020-02-19
4960,2480,16800517-6485,2D,FF735,2020-02-19
4961,2481,16351006-8632,2E,FF735,2020-02-19
4962,2481,16161111-3711,2F,FF735,2020-02-19
4963,2482,16430425-9379,3A,FF735,2020-02-19
4964,2482,16131128-1933,3B,FF735,2020-02-19
4965,2483,16500402-9038,3C,FF735,2020-02-19
4966,2483,16150423-5282,3D,FF735,2020-02-19
4967,2484,16191226-6457,3E,FF735,2020-02-19
4968,2484,16610515-2992,3F,FF735,2020-02-19
4969,2485,16740903-9638,1A,U3245,2020-09-18
4970,2485,16170930-1624,1B,U3245,2020-09-18
4971,2486,16711124-7495,1C,U3245,2020-09-18
4972,2486,16520703-3324,1D,U3245,2020-09-18
4973,2487,16351006-8632,1E,U3245,2020-09-18
4974,2487,16000228-9684,1F,U3245,2020-09-18
4975,2488,16920216-8358,2A,U3245,2020-09-18
4976,2488,16451017-8900,2B,U3245,2020-09-18
4977,2489,16931205-5859,2C,U3245,2020-09-18
4978,2489,16610515-2992,2D,U3245,2020-09-18
4979,2490,16120511-2749,2E,U3245,2020-09-18
4980,2490,16960109-5889,2F,U3245,2020-09-18
4981,2491,16641007-4782,3A,U3245,2020-09-18
4982,2491,16850904-0880,3B,U3245,2020-09-18
4983,2492,16070614-5166,3C,U3245,2020-09-18
4984,2492,16340528-0565,3D,U3245,2020-09-18
4985,2493,16670311-9898,3E,U3245,2020-09-18
4986,2493,16480502-9560,3F,U3245,2020-09-18
4987,2494,16680307-1361,1A,XX170,2020-07-09
4988,2494,16010823-3214,1B,XX170,2020-07-09
4989,2495,16170930-1624,1C,XX170,2020-07-09
4990,2495,16891219-7517,1D,XX170,2020-07-09
4991,2496,16660906-5948,1E,XX170,2020-07-09
4992,2496,16761025-0172,1F,XX170,2020-07-09
4993,2497,16890717-8282,2A,XX170,2020-07-09
4994,2497,16610515-2992,2B,XX170,2020-07-09
4995,2498,16110206-6022,2C,XX170,2020-07-09
4996,2498,16160304-0336,2D,XX170,2020-07-09
4997,2499,16891029-9851,2E,XX170,2020-07-09
4998,2499,16500402-9038,2F,XX170,2020-07-09
4999,2500,16650229-7226,3A,XX170,2020-07-09
5000,2500,16711124-7495,3B,XX170,2020-07-09
5001,2501,16550624-6338,3C,XX170,2020-07-09
5002,2501,16920609-4733,3D,XX170,2020-07-09
5003,2502,16670111-8249,3E,XX170,2020-07-09
5004,2502,16910613-5115,3F,XX170,2020-07-09
5005,2503,16150310-2319,1A,JQ250,2020-05-21
5006,2503,16810114-0682,1B,JQ250,2020-05-21
5007,2504,16490621-7072,1C,JQ250,2020-05-21
5008,2504,16100528-7683,1D,JQ250,2020-05-21
5009,2505,16581130-0689,1E,JQ250,2020-05-21
5010,2505,16920609-4733,1F,JQ250,2020-05-21
5011,2506,16780520-7797,2A,JQ250,2020-05-21
5012,2506,16490305-3546,2B,JQ250,2020-05-21
5013,2507,16010823-3214,2C,JQ250,2020-05-21
5014,2507,16840928-5155,2D,JQ250,2020-05-21
5015,2508,16550624-6338,2E,JQ250,2020-05-21
5016,2508,16061230-7694,2F,JQ250,2020-05-21
5017,2509,16090327-1120,3A,JQ250,2020-05-21
5018,2509,16070614-5166,3B,JQ250,2020-05-21
5019,2510,16600221-0950,3C,JQ250,2020-05-21
5020,2510,16260227-4298,3D,JQ250,2020-05-21
5021,2511,16161111-3711,3E,JQ250,2020-05-21
5022,2511,16940122-5850,3F,JQ250,2020-05-21
5023,2512,16480502-9560,1A,LU118,2020-11-23
5024,2512,16940122-5850,1B,LU118,2020-11-23
5025,2513,16581104-5979,1C,LU118,2020-11-23
5026,2513,16120511-2749,1D,LU118,2020-11-23
5027,2514,16761025-0172,1E,LU118,2020-11-23
5028,2514,16550923-8845,1F,LU118,2020-11-23
5029,2515,16610515-2992,2A,LU118,2020-11-23
5030,2515,16870912-4617,2B,LU118,2020-11-23
5031,2516,16980712-2024,2C,LU118,2020-11-23
5032,2516,16150310-2319,2D,LU118,2020-11-23
5033,2517,16271225-4412,2E,LU118,2020-11-23
5034,2517,16191226-6457,2F,LU118,2020-11-23
5035,2518,16360928-2953,3A,LU118,2020-11-23
5036,2518,16910606-5783,3B,LU118,2020-11-23
5037,2519,16261029-9600,3C,LU118,2020-11-23
5038,2519,16340528-0565,3D,LU118,2020-11-23
5039,2520,16050604-5038,3E,LU118,2020-11-23
5040,2520,16850904-0880,3F,LU118,2020-11-23
5041,2521,16581104-5979,1A,J8732,2020-04-04
5042,2521,16160922-8588,1B,J8732,2020-04-04
5043,2522,16470315-5103,1C,J8732,2020-04-04
5044,2522,16980712-2024,1D,J8732,2020-04-04
5045,2523,16060325-8625,1E,J8732,2020-04-04
5046,2523,16910606-5783,1F,J8732,2020-04-04
5047,2524,16400921-6765,2A,J8732,2020-04-04
5048,2524,16050402-0173,2B,J8732,2020-04-04
5049,2525,16451017-8900,2C,J8732,2020-04-04
5050,2525,16761025-0172,2D,J8732,2020-04-04
5051,2526,16040530-9543,2E,J8732,2020-04-04
5052,2526,16580430-8590,2F,J8732,2020-04-04
5053,2527,16031229-8268,3A,J8732,2020-04-04
5054,2527,16930417-0237,3B,J8732,2020-04-04
5055,2528,16670111-8249,3C,J8732,2020-04-04
5056,2528,16800517-6485,3D,J8732,2020-04-04
5057,2529,16131128-1933,3E,J8732,2020-04-04
5058,2529,16160304-0336,3F,J8732,2020-04-04
5059,2530,16490305-3546,1A,M5437,2020-09-23
5060,2530,16351006-8632,1B,M5437,2020-09-23
5061,2531,16610515-2992,1C,M5437,2020-09-23
5062,2531,16480502-9560,1D,M5437,2020-09-23
5063,2532,16660906-5948,1E,M5437,2020-09-23
5064,2532,16641007-4782,1F,M5437,2020-09-23
5065,2533,16940122-5850,2A,M5437,2020-09-23
5066,2533,16451017-8900,2B,M5437,2020-09-23
5067,2534,16600221-0950,2C,M5437,2020-09-23
5068,2534,16580430-8590,2D,M5437,2020-09-23
5069,2535,16520703-3324,2E,M5437,2020-09-23
5070,2535,16430425-9379,2F,M5437,2020-09-23
5071,2536,16910613-5115,3A,M5437,2020-09-23
5072,2536,16360928-2953,3B,M5437,2020-09-23
5073,2537,16870127-4261,3C,M5437,2020-09-23
5074,2537,16060510-0759,3D,M5437,2020-09-23
5075,2538,16670311-9898,3E,M5437,2020-09-23
5076,2538,16090903-1809,3F,M5437,2020-09-23
5077,2539,16910606-5783,1A,1T256,2020-04-22
5078,2539,16910501-5979,1B,1T256,2020-04-22
5079,2540,16190219-6698,1C,1T256,2020-04-22
5080,2540,16381206-7498,1D,1T256,2020-04-22
5081,2541,16000228-9684,1E,1T256,2020-04-22
5082,2541,16870912-4617,1F,1T256,2020-04-22
5083,2542,16800517-6485,2A,1T256,2020-04-22
5084,2542,16520915-2577,2B,1T256,2020-04-22
5085,2543,16840928-5155,2C,1T256,2020-04-22
5086,2543,16870429-5081,2D,1T256,2020-04-22
5087,2544,16260227-4298,2E,1T256,2020-04-22
5088,2544,16850904-0880,2F,1T256,2020-04-22
5089,2545,16780120-3824,3A,1T256,2020-04-22
5090,2545,16670111-8249,3B,1T256,2020-04-22
5091,2546,16510109-6732,3C,1T256,2020-04-22
5092,2546,16010823-3214,3D,1T256,2020-04-22
5093,2547,16271225-4412,3E,1T256,2020-04-22
5094,2547,16931205-5859,3F,1T256,2020-04-22
5095,2548,16120511-2749,1A,PN558,2020-04-08
5096,2548,16870127-4261,1B,PN558,2020-04-08
5097,2549,16450413-7565,1C,PN558,2020-04-08
5098,2549,16340528-0565,1D,PN558,2020-04-08
5099,2550,16090703-4078,1E,PN558,2020-04-08
5100,2550,16050604-5038,1F,PN558,2020-04-08
5101,2551,16641007-4782,2A,PN558,2020-04-08
5102,2551,16600221-0950,2B,PN558,2020-04-08
5103,2552,16061230-7694,2C,PN558,2020-04-08
5104,2552,16140805-3104,2D,PN558,2020-04-08
5105,2553,16920216-8358,2E,PN558,2020-04-08
5106,2553,16010823-3214,2F,PN558,2020-04-08
5107,2554,16111009-2648,3A,PN558,2020-04-08
5108,2554,16500402-9038,3B,PN558,2020-04-08
5109,2555,16910501-5979,3C,PN558,2020-04-08
5110,2555,16360709-1679,3D,PN558,2020-04-08
5111,2556,16580430-8590,3E,PN558,2020-04-08
5112,2556,16991015-1423,3F,PN558,2020-04-08
5113,2557,16931205-5859,1A,MS50,2020-04-10
5114,2557,16040530-9543,1B,MS50,2020-04-10
5115,2558,16110206-6022,1C,MS50,2020-04-10
5116,2558,16170930-1624,1D,MS50,2020-04-10
5117,2559,16780120-3824,1E,MS50,2020-04-10
5118,2559,16670311-9898,1F,MS50,2020-04-10
5119,2560,16480502-9560,2A,MS50,2020-04-10
5120,2560,16890806-7732,2B,MS50,2020-04-10
5121,2561,16131128-1933,2C,MS50,2020-04-10
5122,2561,16650229-7226,2D,MS50,2020-04-10
5123,2562,16910606-5783,2E,MS50,2020-04-10
5124,2562,16870601-4985,2F,MS50,2020-04-10
5125,2563,16510109-6732,3A,MS50,2020-04-10
5126,2563,16430425-9379,3B,MS50,2020-04-10
5127,2564,16581104-5979,3C,MS50,2020-04-10
5128,2564,16991015-1423,3D,MS50,2020-04-10
5129,2565,16490621-7072,3E,MS50,2020-04-10
5130,2565,16680307-1361,3F,MS50,2020-04-10
5131,2566,16100528-7683,1A,C1846,2020-08-28
5132,2566,16430425-9379,1B,C1846,2020-08-28
5133,2567,16991015-1423,1C,C1846,2020-08-28
5134,2567,16360928-2953,1D,C1846,2020-08-28
5135,2568,16400921-6765,1E,C1846,2020-08-28
5136,2568,16510109-6732,1F,C1846,2020-08-28
5137,2569,16600221-0950,2A,C1846,2020-08-28
5138,2569,16520915-2577,2B,C1846,2020-08-28
5139,2570,16101007-7111,2C,C1846,2020-08-28
5140,2570,16131128-1933,2D,C1846,2020-08-28
5141,2571,16480502-9560,2E,C1846,2020-08-28
5142,2571,16260227-4298,2F,C1846,2020-08-28
5143,2572,16520703-3324,3A,C1846,2020-08-28
5144,2572,16161111-3711,3B,C1846,2020-08-28
5145,2573,16780120-3824,3C,C1846,2020-08-28
5146,2573,16660906-5948,3D,C1846,2020-08-28
5147,2574,16980712-2024,3E,C1846,2020-08-28
5148,2574,16870127-4261,3F,C1846,2020-08-28
5149,2575,16650229-7226,1A,B8209,2020-11-06
5150,2575,16761025-0172,1B,B8209,2020-11-06
5151,2576,16660906-5948,1C,B8209,2020-11-06
5152,2576,16050402-0173,1D,B8209,2020-11-06
5153,2577,16550624-6338,1E,B8209,2020-11-06
5154,2577,16261029-9600,1F,B8209,2020-11-06
5155,2578,16470315-5103,2A,B8209,2020-11-06
5156,2578,16150423-5282,2B,B8209,2020-11-06
5157,2579,16500402-9038,2C,B8209,2020-11-06
5158,2579,16360709-1679,2D,B8209,2020-11-06
5159,2580,16060325-8625,2E,B8209,2020-11-06
5160,2580,16150310-2319,2F,B8209,2020-11-06
5161,2581,16031229-8268,3A,B8209,2020-11-06
5162,2581,16510109-6732,3B,B8209,2020-11-06
5163,2582,16870601-4985,3C,B8209,2020-11-06
5164,2582,16610515-2992,3D,B8209,2020-11-06
5165,2583,16110206-6022,3E,B8209,2020-11-06
5166,2583,16191226-6457,3F,B8209,2020-11-06
5167,2584,16600221-0950,1A,PZ177,2020-03-10
5168,2584,16581130-0689,1B,PZ177,2020-03-10
5169,2585,16090903-1809,1C,PZ177,2020-03-10
5170,2585,16780120-3824,1D,PZ177,2020-03-10
5171,2586,16890806-7732,1E,PZ177,2020-03-10
5172,2586,16110206-6022,1F,PZ177,2020-03-10
5173,2587,16060325-8625,2A,PZ177,2020-03-10
5174,2587,16010823-3214,2B,PZ177,2020-03-10
5175,2588,16040530-9543,2C,PZ177,2020-03-10
5176,2588,16761025-0172,2D,PZ177,2020-03-10
5177,2589,16031229-8268,2E,PZ177,2020-03-10
5178,2589,16560308-7742,2F,PZ177,2020-03-10
5179,2590,16920609-4733,3A,PZ177,2020-03-10
5180,2590,16101007-7111,3B,PZ177,2020-03-10
5181,2591,16550624-6338,3C,PZ177,2020-03-10
5182,2591,16170930-1624,3D,PZ177,2020-03-10
5183,2592,16150423-5282,3E,PZ177,2020-03-10
5184,2592,16271225-4412,3F,PZ177,2020-03-10
5185,2593,16060325-8625,1A,S8203,2020-01-27
5186,2593,16641007-4782,1B,S8203,2020-01-27
5187,2594,16670111-8249,1C,S8203,2020-01-27
5188,2594,16680307-1361,1D,S8203,2020-01-27
5189,2595,16920216-8358,1E,S8203,2020-01-27
5190,2595,16131128-1933,1F,S8203,2020-01-27
5191,2596,16440526-2314,2A,S8203,2020-01-27
5192,2596,16160304-0336,2B,S8203,2020-01-27
5193,2597,16070614-5166,2C,S8203,2020-01-27
5194,2597,16580718-5201,2D,S8203,2020-01-27
5195,2598,16351006-8632,2E,S8203,2020-01-27
5196,2598,16850904-0880,2F,S8203,2020-01-27
5197,2599,16711124-7495,3A,S8203,2020-01-27
5198,2599,16761025-0172,3B,S8203,2020-01-27
5199,2600,16840928-5155,3C,S8203,2020-01-27
5200,2600,16860723-8055,3D,S8203,2020-01-27
5201,2601,16400921-6765,3E,S8203,2020-01-27
5202,2601,16550624-6338,3F,S8203,2020-01-27
5203,2602,16111009-2648,1A,4Z634,2020-06-22
5204,2602,16641007-4782,1B,4Z634,2020-06-22
5205,2603,16890806-7732,1C,4Z634,2020-06-22
5206,2603,16590402-3420,1D,4Z634,2020-06-22
5207,2604,16140805-3104,1E,4Z634,2020-06-22
5208,2604,16991015-1423,1F,4Z634,2020-06-22
5209,2605,16711124-7495,2A,4Z634,2020-06-22
5210,2605,16870912-4617,2B,4Z634,2020-06-22
5211,2606,16440526-2314,2C,4Z634,2020-06-22
5212,2606,16050402-0173,2D,4Z634,2020-06-22
5213,2607,16090903-1809,2E,4Z634,2020-06-22
5214,2607,16100528-7683,2F,4Z634,2020-06-22
5215,2608,16990322-0029,3A,4Z634,2020-06-22
5216,2608,16110206-6022,3B,4Z634,2020-06-22
5217,2609,16491201-6724,3C,4Z634,2020-06-22
5218,2609,16101008-5239,3D,4Z634,2020-06-22
5219,2610,16191226-6457,3E,4Z634,2020-06-22
5220,2610,16980712-2024,3F,4Z634,2020-06-22
5221,2611,16641007-4782,1A,ZH934,2020-08-19
5222,2611,16670311-9898,1B,ZH934,2020-08-19
5223,2612,16400921-6765,1C,ZH934,2020-08-19
5224,2612,16940122-5850,1D,ZH934,2020-08-19
5225,2613,16100528-7683,1E,ZH934,2020-08-19
5226,2613,16000228-9684,1F,ZH934,2020-08-19
5227,2614,16660906-5948,2A,ZH934,2020-08-19
5228,2614,16480502-9560,2B,ZH934,2020-08-19
5229,2615,16590402-3420,2C,ZH934,2020-08-19
5230,2615,16440526-2314,2D,ZH934,2020-08-19
5231,2616,16340528-0565,2E,ZH934,2020-08-19
5232,2616,16910613-5115,2F,ZH934,2020-08-19
5233,2617,16450413-7565,3A,ZH934,2020-08-19
5234,2617,16191226-6457,3B,ZH934,2020-08-19
5235,2618,16780120-3824,3C,ZH934,2020-08-19
5236,2618,16870601-4985,3D,ZH934,2020-08-19
5237,2619,16930417-0237,3E,ZH934,2020-08-19
5238,2619,16150310-2319,3F,ZH934,2020-08-19
5239,2620,16360709-1679,1A,TC719,2020-11-07
5240,2620,16960109-5889,1B,TC719,2020-11-07
5241,2621,16261029-9600,1C,TC719,2020-11-07
5242,2621,16100528-7683,1D,TC719,2020-11-07
5243,2622,16930417-0237,1E,TC719,2020-11-07
5244,2622,16480502-9560,1F,TC719,2020-11-07
5245,2623,16351006-8632,2A,TC719,2020-11-07
5246,2623,16680307-1361,2B,TC719,2020-11-07
5247,2624,16360928-2953,2C,TC719,2020-11-07
5248,2624,16470315-5103,2D,TC719,2020-11-07
5249,2625,16990322-0029,2E,TC719,2020-11-07
5250,2625,16891029-9851,2F,TC719,2020-11-07
5251,2626,16580718-5201,3A,TC719,2020-11-07
5252,2626,16451017-8900,3B,TC719,2020-11-07
5253,2627,16160922-8588,3C,TC719,2020-11-07
5254,2627,16940122-5850,3D,TC719,2020-11-07
5255,2628,16040530-9543,3E,TC719,2020-11-07
5256,2628,16520915-2577,3F,TC719,2020-11-07
5257,2629,16470315-5103,1A,T0192,2020-07-10
5258,2629,16060510-0759,1B,T0192,2020-07-10
5259,2630,16891029-9851,1C,T0192,2020-07-10
5260,2630,16150423-5282,1D,T0192,2020-07-10
5261,2631,16930417-0237,1E,T0192,2020-07-10
5262,2631,16050402-0173,1F,T0192,2020-07-10
5263,2632,16850904-0880,2A,T0192,2020-07-10
5264,2632,16000228-9684,2B,T0192,2020-07-10
5265,2633,16340528-0565,2C,T0192,2020-07-10
5266,2633,16610515-2992,2D,T0192,2020-07-10
5267,2634,16550923-8845,2E,T0192,2020-07-10
5268,2634,16910613-5115,2F,T0192,2020-07-10
5269,2635,16190219-6698,3A,T0192,2020-07-10
5270,2635,16360709-1679,3B,T0192,2020-07-10
5271,2636,16161111-3711,3C,T0192,2020-07-10
5272,2636,16510109-6732,3D,T0192,2020-07-10
5273,2637,16740903-9638,3E,T0192,2020-07-10
5274,2637,16890806-7732,3F,T0192,2020-07-10
5275,2638,16960109-5889,1A,9X585,2020-09-01
5276,2638,16260227-4298,1B,9X585,2020-09-01
5277,2639,16610515-2992,1C,9X585,2020-09-01
5278,2639,16140805-3104,1D,9X585,2020-09-01
5279,2640,16100528-7683,1E,9X585,2020-09-01
5280,2640,16190219-6698,1F,9X585,2020-09-01
5281,2641,16150310-2319,2A,9X585,2020-09-01
5282,2641,16500402-9038,2B,9X585,2020-09-01
5283,2642,16110206-6022,2C,9X585,2020-09-01
5284,2642,16101007-7111,2D,9X585,2020-09-01
5285,2643,16560308-7742,2E,9X585,2020-09-01
5286,2643,16870127-4261,2F,9X585,2020-09-01
5287,2644,16120511-2749,3A,9X585,2020-09-01
5288,2644,16490305-3546,3B,9X585,2020-09-01
5289,2645,16381206-7498,3C,9X585,2020-09-01
5290,2645,16660906-5948,3D,9X585,2020-09-01
5291,2646,16931205-5859,3E,9X585,2020-09-01
5292,2646,16111009-2648,3F,9X585,2020-09-01
5293,2647,16560308-7742,1A,XT845,2020-10-02
5294,2647,16101008-5239,1B,XT845,2020-10-02
5295,2648,16670111-8249,1C,XT845,2020-10-02
5296,2648,16160304-0336,1D,XT845,2020-10-02
5297,2649,16050402-0173,1E,XT845,2020-10-02
5298,2649,16400921-6765,1F,XT845,2020-10-02
5299,2650,16490305-3546,2A,XT845,2020-10-02
5300,2650,16451017-8900,2B,XT845,2020-10-02
5301,2651,16860723-8055,2C,XT845,2020-10-02
5302,2651,16910613-5115,2D,XT845,2020-10-02
5303,2652,16930417-0237,2E,XT845,2020-10-02
5304,2652,16580430-8590,2F,XT845,2020-10-02
5305,2653,16000228-9684,3A,XT845,2020-10-02
5306,2653,16160922-8588,3B,XT845,2020-10-02
5307,2654,16450413-7565,3C,XT845,2020-10-02
5308,2654,16490621-7072,3D,XT845,2020-10-02
5309,2655,16931205-5859,3E,XT845,2020-10-02
5310,2655,16740903-9638,3F,XT845,2020-10-02
5311,2656,16991015-1423,1A,AZ215,2020-05-08
5312,2656,16090327-1120,1B,AZ215,2020-05-08
5313,2657,16450226-1243,1C,AZ215,2020-05-08
5314,2657,16451017-8900,1D,AZ215,2020-05-08
5315,2658,16140805-3104,1E,AZ215,2020-05-08
5316,2658,16711124-7495,1F,AZ215,2020-05-08
5317,2659,16430425-9379,2A,AZ215,2020-05-08
5318,2659,16670111-8249,2B,AZ215,2020-05-08
5319,2660,16261029-9600,2C,AZ215,2020-05-08
5320,2660,16090703-4078,2D,AZ215,2020-05-08
5321,2661,16580430-8590,2E,AZ215,2020-05-08
5322,2661,16031229-8268,2F,AZ215,2020-05-08
5323,2662,16170930-1624,3A,AZ215,2020-05-08
5324,2662,16931205-5859,3B,AZ215,2020-05-08
5325,2663,16870601-4985,3C,AZ215,2020-05-08
5326,2663,16050402-0173,3D,AZ215,2020-05-08
5327,2664,16780120-3824,3E,AZ215,2020-05-08
5328,2664,16010823-3214,3F,AZ215,2020-05-08
5329,2665,16360709-1679,1A,C4523,2020-05-12
5330,2665,16111009-2648,1B,C4523,2020-05-12
5331,2666,16101008-5239,1C,C4523,2020-05-12
5332,2666,16940122-5850,1D,C4523,2020-05-12
5333,2667,16870429-5081,1E,C4523,2020-05-12
5334,2667,16060325-8625,1F,C4523,2020-05-12
5335,2668,16910501-5979,2A,C4523,2020-05-12
5336,2668,16491201-6724,2B,C4523,2020-05-12
5337,2669,16161111-3711,2C,C4523,2020-05-12
5338,2669,16890806-7732,2D,C4523,2020-05-12
5339,2670,16160922-8588,2E,C4523,2020-05-12
5340,2670,16110206-6022,2F,C4523,2020-05-12
5341,2671,16090703-4078,3A,C4523,2020-05-12
5342,2671,16090903-1809,3B,C4523,2020-05-12
5343,2672,16670111-8249,3C,C4523,2020-05-12
5344,2672,16070614-5166,3D,C4523,2020-05-12
5345,2673,16100528-7683,3E,C4523,2020-05-12
5346,2673,16351006-8632,3F,C4523,2020-05-12
5347,2674,16581104-5979,1A,2U133,2020-01-19
5348,2674,16910613-5115,1B,2U133,2020-01-19
5349,2675,16090327-1120,1C,2U133,2020-01-19
5350,2675,16931205-5859,1D,2U133,2020-01-19
5351,2676,16840928-5155,1E,2U133,2020-01-19
5352,2676,16650229-7226,1F,2U133,2020-01-19
5353,2677,16120511-2749,2A,2U133,2020-01-19
5354,2677,16050604-5038,2B,2U133,2020-01-19
5355,2678,16581130-0689,2C,2U133,2020-01-19
5356,2678,16170930-1624,2D,2U133,2020-01-19
5357,2679,16800517-6485,2E,2U133,2020-01-19
5358,2679,16440526-2314,2F,2U133,2020-01-19
5359,2680,16360709-1679,3A,2U133,2020-01-19
5360,2680,16520703-3324,3B,2U133,2020-01-19
5361,2681,16980712-2024,3C,2U133,2020-01-19
5362,2681,16550624-6338,3D,2U133,2020-01-19
5363,2682,16070614-5166,3E,2U133,2020-01-19
5364,2682,16780520-7797,3F,2U133,2020-01-19
5365,2683,16351006-8632,1A,8D483,2020-08-12
5366,2683,16100528-7683,1B,8D483,2020-08-12
5367,2684,16931205-5859,1C,8D483,2020-08-12
5368,2684,16510109-6732,1D,8D483,2020-08-12
5369,2685,16580718-5201,1E,8D483,2020-08-12
5370,2685,16960109-5889,1F,8D483,2020-08-12
5371,2686,16440526-2314,2A,8D483,2020-08-12
5372,2686,16191226-6457,2B,8D483,2020-08-12
5373,2687,16150310-2319,2C,8D483,2020-08-12
5374,2687,16050402-0173,2D,8D483,2020-08-12
5375,2688,16090903-1809,2E,8D483,2020-08-12
5376,2688,16891029-9851,2F,8D483,2020-08-12
5377,2689,16111009-2648,3A,8D483,2020-08-12
5378,2689,16810114-0682,3B,8D483,2020-08-12
5379,2690,16490904-1982,3C,8D483,2020-08-12
5380,2690,16991015-1423,3D,8D483,2020-08-12
5381,2691,16170930-1624,3E,8D483,2020-08-12
5382,2691,16360928-2953,3F,8D483,2020-08-12
5383,2692,16040530-9543,1A,T5578,2020-09-23
5384,2692,16090703-4078,1B,T5578,2020-09-23
5385,2693,16580430-8590,1C,T5578,2020-09-23
5386,2693,16510109-6732,1D,T5578,2020-09-23
5387,2694,16160922-8588,1E,T5578,2020-09-23
5388,2694,16590402-3420,1F,T5578,2020-09-23
5389,2695,16150310-2319,2A,T5578,2020-09-23
5390,2695,16670111-8249,2B,T5578,2020-09-23
5391,2696,16580718-5201,2C,T5578,2020-09-23
5392,2696,16120511-2749,2D,T5578,2020-09-23
5393,2697,16480502-9560,2E,T5578,2020-09-23
5394,2697,16910606-5783,2F,T5578,2020-09-23
5395,2698,16560308-7742,3A,T5578,2020-09-23
5396,2698,16451017-8900,3B,T5578,2020-09-23
5397,2699,16581104-5979,3C,T5578,2020-09-23
5398,2699,16111009-2648,3D,T5578,2020-09-23
5399,2700,16870429-5081,3E,T5578,2020-09-23
5400,2700,16031229-8268,3F,T5578,2020-09-23
5401,2701,16870429-5081,1A,UH153,2020-08-19
5402,2701,16190219-6698,1B,UH153,2020-08-19
5403,2702,16470315-5103,1C,UH153,2020-08-19
5404,2702,16161111-3711,1D,UH153,2020-08-19
5405,2703,16101008-5239,1E,UH153,2020-08-19
5406,2703,16520915-2577,1F,UH153,2020-08-19
5407,2704,16660906-5948,2A,UH153,2020-08-19
5408,2704,16650229-7226,2B,UH153,2020-08-19
5409,2705,16891219-7517,2C,UH153,2020-08-19
5410,2705,16870601-4985,2D,UH153,2020-08-19
5411,2706,16980712-2024,2E,UH153,2020-08-19
5412,2706,16860723-8055,2F,UH153,2020-08-19
5413,2707,16450413-7565,3A,UH153,2020-08-19
5414,2707,16410417-1642,3B,UH153,2020-08-19
5415,2708,16490621-7072,3C,UH153,2020-08-19
5416,2708,16931205-5859,3D,UH153,2020-08-19
5417,2709,16920609-4733,3E,UH153,2020-08-19
5418,2709,16400921-6765,3F,UH153,2020-08-19
5419,2710,16161111-3711,1A,NH84,2020-05-21
5420,2710,16060325-8625,1B,NH84,2020-05-21
5421,2711,16260227-4298,1C,NH84,2020-05-21
5422,2711,16520915-2577,1D,NH84,2020-05-21
5423,2712,16090703-4078,1E,NH84,2020-05-21
5424,2712,16870601-4985,1F,NH84,2020-05-21
5425,2713,16070614-5166,2A,NH84,2020-05-21
5426,2713,16891219-7517,2B,NH84,2020-05-21
5427,2714,16931205-5859,2C,NH84,2020-05-21
5428,2714,16351006-8632,2D,NH84,2020-05-21
5429,2715,16050402-0173,2E,NH84,2020-05-21
5430,2715,16360928-2953,2F,NH84,2020-05-21
5431,2716,16650229-7226,3A,NH84,2020-05-21
5432,2716,16040530-9543,3B,NH84,2020-05-21
5433,2717,16340528-0565,3C,NH84,2020-05-21
5434,2717,16920609-4733,3D,NH84,2020-05-21
5435,2718,16400921-6765,3E,NH84,2020-05-21
5436,2718,16451017-8900,3F,NH84,2020-05-21
5437,2719,16101008-5239,1A,WR520,2020-06-25
5438,2719,16580718-5201,1B,WR520,2020-06-25
5439,2720,16840928-5155,1C,WR520,2020-06-25
5440,2720,16150423-5282,1D,WR520,2020-06-25
5441,2721,16480502-9560,1E,WR520,2020-06-25
5442,2721,16061230-7694,1F,WR520,2020-06-25
5443,2722,16120511-2749,2A,WR520,2020-06-25
5444,2722,16000228-9684,2B,WR520,2020-06-25
5445,2723,16260227-4298,2C,WR520,2020-06-25
5446,2723,16910501-5979,2D,WR520,2020-06-25
5447,2724,16490621-7072,2E,WR520,2020-06-25
5448,2724,16140805-3104,2F,WR520,2020-06-25
5449,2725,16650229-7226,3A,WR520,2020-06-25
5450,2725,16891219-7517,3B,WR520,2020-06-25
5451,2726,16031229-8268,3C,WR520,2020-06-25
5452,2726,16161111-3711,3D,WR520,2020-06-25
5453,2727,16600221-0950,3E,WR520,2020-06-25
5454,2727,16930417-0237,3F,WR520,2020-06-25
5455,2728,16930417-0237,1A,R4629,2020-03-16
5456,2728,16451017-8900,1B,R4629,2020-03-16
5457,2729,16550624-6338,1C,R4629,2020-03-16
5458,2729,16650229-7226,1D,R4629,2020-03-16
5459,2730,16060510-0759,1E,R4629,2020-03-16
5460,2730,16111009-2648,1F,R4629,2020-03-16
5461,2731,16061230-7694,2A,R4629,2020-03-16
5462,2731,16641007-4782,2B,R4629,2020-03-16
5463,2732,16761025-0172,2C,R4629,2020-03-16
5464,2732,16490904-1982,2D,R4629,2020-03-16
5465,2733,16150310-2319,2E,R4629,2020-03-16
5466,2733,16381206-7498,2F,R4629,2020-03-16
5467,2734,16581130-0689,3A,R4629,2020-03-16
5468,2734,16040530-9543,3B,R4629,2020-03-16
5469,2735,16271225-4412,3C,R4629,2020-03-16
5470,2735,16170930-1624,3D,R4629,2020-03-16
